cells   arbmc_wall   arbmc_rate   arbmc_nrg   arbgpu_wall   arbgpu_rate   arbgpu_nrg   nrnmc_wall   nrnmc_rate   arbknl_wall   arbknl_nrg
   32       0.348       9.195       0.036     2.058       1.555           0.246       1.730       1.849          1.13          0.17
   64       0.387      16.537       0.051     2.097       3.052           0.254       2.613       2.449          1.29          0.22
  128       0.751      17.044       0.108     2.443       5.239           0.333       8.266       1.548          1.71          0.34
  256       1.422      18.003       0.255     2.969       8.622           0.430      32.918       0.778          2.28          0.55
  512       2.662      19.234       0.580     4.192      12.214           0.673      67.332       0.760          3.36          0.97
 1024       5.119      20.004       1.235     6.496      15.764           1.135     135.517       0.756          6.15          1.81
 2048      10.042      20.394       2.533    11.110      18.434           2.106     272.871       0.751          12.27         3.63
 4096      19.930      20.552       5.158    19.961      20.520           3.955     555.344       0.738          24.39         7.24 
 8192      39.662      20.655      10.378    37.240      21.998           7.719    1234.700       0.663          48.65         14.45 
16384      79.216      20.683      20.850    71.652      22.866          15.108       nan          nan           97.19         28.99

